Tutorial Group,Total Students,Overall Avg CGPA,Group Number,Group Size,Group Students,Group Avg CGPA,Male Ratio,Female Ratio,School Diversity,GPA Variance,Gender Variance,Vector Displacement
G-112,50,4.11,Group 9,5,"Irene Cheung, Rowena Mendoza, Sakura Watanabe, Mai Le, Sanjay Kapoor",4.14,0.2,0.8,5,0.0008,0.64,0.1547
G-112,50,4.11,Group 10,5,"Alice Wang, Riley Jackson, Elena Brown, Ella Zhao, Tarun Nair",4.16,0.2,0.8,5,0.0035,0.64,0.1554
G-113,50,4.05,Group 1,5,"Lara Lim, Adrian Tan, Suman Singh, Zahid Bin Rahman, Sherry Tan",4.06,0.4,0.6,5,0.0049,0.96,0.0782
G-113,50,4.05,Group 2,5,"Violet Ward, Yusuf Bin Sulaiman, Kaitlyn Carter, Alya Binti Mohd, Maximus Wright",4.02,0.4,0.6,5,0.0059,0.96,0.0708
G-113,50,4.05,Group 3,5,"Clara Yang, Jamal Santos, Zara Price, Ahmad bin Ismail, Logan Green",4.04,0.6,0.4,5,0.0095,0.96,0.0949
G-113,50,4.05,Group 4,5,"Gia Price, Brayden Torres, Vikram Joshi, Diana Prince, Amina Rahman",4.04,0.4,0.6,5,0.0116,0.96,0.0942
G-113,50,4.05,Group 5,5,"Sadia Noor, Oscar Lee, Rohan Tan, Zain Malik, Han Chen Lim",4.09,0.6,0.4,5,0.0209,0.96,0.0875
G-113,50,4.05,Group 6,5,"Siti binti Ahmad, Isaac Wright, Diana Binti Azhar, Zahrah Binti Noor, Sonia Iyer",4.08,0.4,0.6,5,0.0057,0.96,0.0865
G-113,50,4.05,Group 7,5,"Kendall Zhang, Isaac Wong, Kimi Wibowo, Jasper Wang, Natalie Chen",4.12,0.4,0.6,5,0.0102,0.96,0.0969
G-113,50,4.05,Group 8,5,"Samantha Yang, Yara Chen, Bharat Menon, Leonardo Thomas, Isaiah Murphy",3.99,0.6,0.4,5,0.0217,0.96,0.0969
G-113,50,4.05,Group 9,5,"Elizaveta Antonova, Lydia Wang, Zhang Bo, Tess Tsai, Farrell Mendoza",4.05,0.4,0.6,5,0.0111,0.96,0.1102
G-113,50,4.05,Group 10,5,"Fatima Khan, Grace Young, Taojie, Maya Rahayu, Rajiv Mehta",4.04,0.2,0.8,4,0.0105,0.64,0.2265
G-114,50,4.09,Group 1,5,"Luna Tsai, Abigail Lewis, Dong-Wook Choi, Oki Andri, Troy Wong",4.18,0.6,0.4,5,0.0292,0.96,0.0793
G-114,50,4.09,Group 2,5,"Lily Tan, Mira Khan, Guixiang, Xander Morris, Jueqi",4.09,0.4,0.6,5,0.0039,0.96,0.0853
G-114,50,4.09,Group 3,5,"Cheng Zhang, Misha Rani, Alan Chan, Shawn Ng, Mila Wang",4.03,0.4,0.6,5,0.0074,0.96,0.0866
G-114,50,4.09,Group 4,5,"Nguyen Thi Thanh, Sophie Patel, Li Chan, Tariq Khan, Xiao Wei",4.07,0.4,0.6,5,0.0042,0.96,0.1015
G-114,50,4.09,Group 5,5,"Deepa Sharma, Bella Goh, Zachary Tan, Lia Harum, Rei Takahashi",4.07,0.4,0.6,5,0.0109,0.96,0.0934
G-114,50,4.09,Group 6,5,"Rosa Tan, Saira Raza, Ravi Chandran, Sana Malik, Isaac Lee",4.05,0.4,0.6,5,0.0045,0.96,0.1099
G-114,50,4.09,Group 7,5,"Gauri Mehta, Thea Wang, Miho Nishimura, Maya Zhao, Rohan Sharma",4.17,0.2,0.8,5,0.0244,0.64,0.1415
G-114,50,4.09,Group 8,5,"Gloria Li, Ariana Richardson, Sofia Cheng, Aubree King, Azman bin Rahman",4.11,0.2,0.8,5,0.0041,0.64,0.1471
G-114,50,4.09,Group 9,5,"Kabir Singh, Wani Binti Azhar, Iris Lim, Alia Zainal, Amit Sharma",4.12,0.2,0.8,5,0.0053,0.64,0.1474
G-114,50,4.09,Group 10,5,"Svetlana Petrovna, Kira Foster, Rida Khan, Hannah Tan, Orion Setiawan",4.01,0.2,0.8,5,0.0151,0.64,0.1572
G-115,50,4.09,Group 1,5,"Sophie Tsai, Harry Li, Caleb Wright, Layla Carter, Pooja Mehra",4.04,0.4,0.6,5,0.0142,0.96,0.082
G-115,50,4.09,Group 2,5,"Meghan Carter, David Stewart, Nathan Davis, Anaya Shah, James Wright",4.12,0.6,0.4,5,0.0141,0.96,0.0858
G-115,50,4.09,Group 3,5,"Hina Bukhari, Gordon Yip, Ryoji Yamamoto, Sanya Ahuja, Derrick Lim",4.05,0.6,0.4,5,0.0254,0.96,0.0868
G-115,50,4.09,Group 4,5,"Ananya Doshi, Alexander Phillips, Rhea Wu, Nathan Diaz, Ella Chen",4.11,0.4,0.6,5,0.0062,0.96,0.0958
G-115,50,4.09,Group 5,5,"Siti Nora, Samantha Lim, Daiki Matsumoto, Hendrix Yang, Luna Flores",4.09,0.4,0.6,5,0.0031,0.96,0.0957
G-115,50,4.09,Group 6,5,"Miyuki Nishimura, Lilly Wong, Nguyen Van Loc, Kieran Zhao, Alya Binti Zainal",4.09,0.4,0.6,5,0.0053,0.96,0.0957
G-115,50,4.09,Group 7,5,"Oliver Lim, Anna Kim, Aoi Tanaka, Ryan Edwards, Nida Rehman",4.11,0.4,0.6,5,0.0024,0.96,0.0959
G-115,50,4.09,Group 8,5,"Jai Singh, Amber Chen, Shaista Iqbal, Mira Agustina, Kohei Tanaka",4.13,0.4,0.6,5,0.0071,0.96,0.1128
G-115,50,4.09,Group 9,5,"Mukesh Kumar, Isabella Ward, Saira Iqbal, Weimin, Zhi Yi Lim",4.1,0.6,0.4,5,0.0132,0.96,0.1255
G-115,50,4.09,Group 10,5,"Jaxon Young, Fiona Li, Yui Kobayashi, Ling Liu, Talha Malik",4.1,0.4,0.6,5,0.0034,0.96,0.1357
G-116,50,4.1,Group 1,5,"Samuel Patel, Maya Ali, Suman Verma, Derek Lee, Hikaru Matsumoto",4.19,0.6,0.4,5,0.0235,0.96,0.0792
G-116,50,4.1,Group 2,5,"Aarav Verma, Willow Li, Nguyen Minh Quang, Amina Begum, Ashok Nair",4.1,0.6,0.4,5,0.0189,0.96,0.0847
G-116,50,4.1,Group 3,5,"Mohammed Hafiz, Anu Iyer, Eric Liu, Nafisa Shah, Harlan Perdana",4.08,0.6,0.4,5,0.0046,0.96,0.0929
G-116,50,4.1,Group 4,5,"Zoe Brown, Quinn Lim, Derek Adams, Fengguo, Nicolas Ramos",4.17,0.6,0.4,5,0.0377,0.96,0.094
G-116,50,4.1,Group 5,5,"Sonia Verma, Dong Chen, Hao Wei Tan, Nurul Aini, Jueqi",4.04,0.6,0.4,5,0.0202,0.96,0.1097
G-116,50,4.1,Group 6,5,"Charlotte Walker, Gabriel Edwards, Zain Ali, Kimberly Lim, Adrian Zhang",4.08,0.6,0.4,5,0.0053,0.96,0.1169
G-116,50,4.1,Group 7,5,"Nguyen Thi Thao, Henry Liu, Lucy Chen, Lorenzo Wu, Dongmei",4.12,0.6,0.4,5,0.0103,0.96,0.1089
G-116,50,4.1,Group 8,5,"Sophie Martinez, Gavin Smith, Amira Hasan, Asher Hill, Aarav Gupta",4.1,0.6,0.4,5,0.0226,0.96,0.1167
G-116,50,4.1,Group 9,5,"Jovian Liu, Sophia Yang, Serena Xiao, Riley Lin, Tina Ho",4.1,0.2,0.8,5,0.0025,0.64,0.1593
G-116,50,4.1,Group 10,5,"Ahmad Raza, Rina Patel, Zahra Yousaf, Fern Ng, Nina Khan",4.02,0.2,0.8,4,0.0059,0.64,0.2331
G-117,50,4.11,Group 1,5,"Ying Yi, Daniel Patel, Rizwan Raza, Dhruv Sharma, Vina Ratnasari",4.11,0.4,0.6,5,0.0046,0.96,0.08
G-117,50,4.11,Group 2,5,"Pamela Reyes, Evelyn Rodriguez, Ulysses Chan, Mingyu, Aurora Price",4.11,0.4,0.6,5,0.0055,0.96,0.072
G-117,50,4.11,Group 3,5,"Aminah Safwan, Isabella Miller, Jin Yu Tan, Zhi Wei Lim, Shanice Tan",4.07,0.4,0.6,5,0.0118,0.96,0.0722
G-117,50,4.11,Group 4,5,"Gita Ayu, Qori Putri, Leah Tan, Adrian Lee, Aditya Tan",4.11,0.4,0.6,5,0.0045,0.96,0.08
G-117,50,4.11,Group 5,5,"Chloe Zhang, Kiran Reddy, Tian Yi Tan, Derek Martinez, Liam Ali",4.11,0.4,0.6,5,0.0129,0.96,0.08
G-117,50,4.11,Group 6,5,"Kylie Roberts, Maira Binti Rahman, Farah Binti, Hikaru Tanaka, Dylan Li",4.09,0.4,0.6,5,0.1079,0.96,0.0801
G-117,50,4.11,Group 7,5,"Jun Yi Tan, Fuzheng, Dustin Zhao, Hani Suharni, Nisha Rani",4.1,0.4,0.6,5,0.0044,0.96,0.096
G-117,50,4.11,Group 8,5,"Yuki Sato, Miyuki Takeda, Farah Ahmed, Hao Chen Lee, Chen Ya",4.15,0.4,0.6,5,0.0075,0.96,0.1043
G-117,50,4.11,Group 9,5,"Aidan Scott, Claudia Wang, Ember Chang, Kavita Desai, Zane Navarro",4.09,0.4,0.6,5,0.0028,0.96,0.1041
G-117,50,4.11,Group 10,5,"Felix Lim, Katherine Ho, Maira Malik, Zelda Ong, Ihsan Rahma",4.15,0.4,0.6,5,0.013,0.96,0.1123
G-118,50,4.11,Group 1,5,"Kendall Smith, Sonya Tan, Uriah Howard, Neha Gupta, Gwen Alvarado",4.13,0.4,0.6,5,0.0419,0.96,0.0807
G-118,50,4.11,Group 2,5,"Marcus Lim, Divya Mehta, Sufyan Bin Ramli, Radhika Iyer, Aleksey Ivanov",4.1,0.6,0.4,5,0.0066,0.96,0.0929
G-118,50,4.11,Group 3,5,"Jacob Edwards, Cameron Carter, Shreya Mehta, Lan Liu, Kiran Reddy",4.1,0.6,0.4,5,0.0022,0.96,0.0849
G-118,50,4.11,Group 4,5,"Feng Zhao, Dane Santos, Peyton Simmons, Addison Young, Ika Putri",4.09,0.4,0.6,5,0.0195,0.96,0.0886
G-118,50,4.11,Group 5,5,"Chen Liu, Noah Yang, Randy Lim, Autumn Chen, Olive James",4.11,0.6,0.4,5,0.0169,0.96,0.085
G-118,50,4.11,Group 6,5,"Ningyi, Rafiq Bin Omar, Dylan Tan, Luna Chen, Eliana Tan",4.11,0.6,0.4,5,0.0281,0.96,0.101
G-118,50,4.11,Group 7,5,"Tanya Tan, Liam Zhang, Sandeep Sharma, Qing Zhao, Dorian Yang",4.11,0.6,0.4,5,0.0051,0.96,0.1089
G-118,50,4.11,Group 8,5,"Linh Vu, Theodore Yang, Isaiah Huang, Aaliyah Brooks, Hugo Wong",4.1,0.6,0.4,5,0.0035,0.96,0.117
G-118,50,4.11,Group 9,5,"Riya Bhatia, Luca Torres, David Phillips, Maximus Davis, Ravi Reddy",4.09,0.8,0.2,5,0.0102,0.64,0.1504
G-118,50,4.11,Group 10,5,"Kylie Torres, Zeke Villanueva, Seth Li, Aki Nishimura, Guang Li",4.13,0.6,0.4,4,0.0177,0.96,0.2051
G-119,50,4.1,Group 1,5,"Mila Sanchez, Ravi Tan, Shazwan Bin Rahman, Sabrina Tan, Andrew Wong",4.0,0.6,0.4,5,0.0188,0.96,0.0903
G-119,50,4.1,Group 2,5,"Irina Petrovna, Felix Wong, Kamran Shah, Priya Reddy, Nguyen Van Phuc",4.13,0.6,0.4,5,0.0042,0.96,0.1077
G-119,50,4.1,Group 3,5,"Cassandra Wu, Shayla Wu, Jackson Yang, Christopher Martinez, Sabrina Lee",4.11,0.4,0.6,5,0.0088,0.96,0.0983
G-119,50,4.1,Group 4,5,"Truong Thi Hai, Siti Nur, Adriel Chen, Malcolm Chen, Malcolm Tan",4.1,0.6,0.4,5,0.0168,0.96,0.0908
G-119,50,4.1,Group 5,5,"Sophie Garcia, Emma Lee, Tania Lim, Ryan James, Ben Tan",4.12,0.4,0.6,5,0.0029,0.96,0.1145
G-119,50,4.1,Group 6,5,"Anoushka Rao, Luming, Mila Torres, Manoj Pillai, Katrina Tan",4.09,0.4,0.6,5,0.0036,0.96,0.1143
G-119,50,4.1,Group 7,5,"Mariah Mendoza, Seth Li, Carmen Li, Nikhil Kumar, Linh Tran",4.1,0.4,0.6,5,0.0131,0.96,0.1142
G-119,50,4.1,Group 8,5,"Jing Li, Felicity Tan, Amelia Young, Cai Wei, Adam Patterson",4.11,0.4,0.6,5,0.0145,0.96,0.1223
G-119,50,4.1,Group 9,5,"Lana Cooper, Sora Nishimura, Siti Aida, Karthik Nair, Liam Walker",4.09,0.4,0.6,5,0.0011,0.96,0.1462
G-119,50,4.1,Group 10,5,"Clara Lee, Ravi Kumar, Qiao Yu, Dante Wong, Kaitlyn Morris",4.13,0.2,0.8,5,0.0072,0.64,0.1672
G-12,50,4.12,Group 1,5,"Vesper Salazar, Ian Alonzo, Huang Wei, Tilly Ramos, Harper Martinez",4.18,0.4,0.6,5,0.0307,0.96,0.0944
G-12,50,4.12,Group 2,5,"Miriam Alvarado, Malachi Liu, Liam Torres, Anaya Mehta, Jin-Woo Seo",4.11,0.6,0.4,5,0.0055,0.96,0.1036
G-12,50,4.12,Group 3,5,"Skye Huang, Aarav Tan, Nitesh Singh, Fatima Zainal, Stephen Evans",4.12,0.6,0.4,5,0.0513,0.96,0.0956
G-12,50,4.12,Group 4,5,"Sofia Ali, Fabian Navarro, Budi Santoso, Lily Nguyen, Ayaan Tan",4.12,0.6,0.4,5,0.01,0.96,0.1036
G-12,50,4.12,Group 5,5,"Chloe Lee, Nash Tan, Adrian Wong, Sienna Zhang, Keegan Li",4.15,0.6,0.4,5,0.0086,0.96,0.104
G-12,50,4.12,Group 6,5,"Ranya Lim, Zhonghua, Kenshin Hayashi, Jin-Ah Park, Hannah Robinson",4.11,0.4,0.6,5,0.0173,0.96,0.1167
G-12,50,4.12,Group 7,5,"Penny Lim, Siddharth Patel, Yuri Mikhailov, Kai Zhang, Sofia Nelson",4.08,0.4,0.6,5,0.0055,0.96,0.1171
G-12,50,4.12,Group 8,5,"Kendall Cooper, Freya Li, Jovian Tan, Rakesh Nair, Ashlyn Wang",4.07,0.4,0.6,5,0.0133,0.96,0.1257
G-12,50,4.12,Group 9,5,"Yui Yamamoto, Isabella Zhao, Sadiya Iqbal, Liam Yip, Farhan Bin Azhar",4.08,0.4,0.6,5,0.0155,0.96,0.1333
G-12,50,4.12,Group 10,5,"Diya Yadav, Scarlett Gonzalez, Meera Reddy, Aarav Sinha, Jayden Smith",4.15,0.4,0.6,5,0.0104,0.96,0.1411
G-120,50,4.12,Group 1,5,"Jackson Moore, Yani Santoso, Joni Setiawan, Janet Ng, Jayden Clark",4.11,0.6,0.4,5,0.0124,0.96,0.0741
G-120,50,4.12,Group 2,5,"Omar Chen, Giselle Bautista, Fauzi Bin Zain, Samantha Patel, Kai Wei",4.14,0.6,0.4,5,0.0382,0.96,0.0743
G-120,50,4.12,Group 3,5,"Isaac Wu, Kang Lei, Yara Price, Nolan Foster, Christopher Harris",4.1,0.6,0.4,5,0.0043,0.96,0.0742
G-120,50,4.12,Group 4,5,"Dong-Il Kim, Jasmine Khan, Yan Li, Victor Andreyev, Ruiwen",4.12,0.6,0.4,5,0.0014,0.96,0.0821
G-120,50,4.12,Group 5,5,"Marcus Chen, Taro Suzuki, Samantha Lee, Victoria Choi, Yasir Shah",4.17,0.6,0.4,5,0.0353,0.96,0.0911
G-120,50,4.12,Group 6,5,"Rishi Singh, Samantha Cooper, Rachel Yeo, Jing Chen, Sneha Chakraborty",4.12,0.4,0.6,5,0.0076,0.96,0.0879
G-120,50,4.12,Group 7,5,"Derek Tan, John Walker, Riku Tanaka, Deng Li, Yasmin Kaur",4.11,0.6,0.4,5,0.0093,0.96,0.0981
G-120,50,4.12,Group 8,5,"Ashok Patil, Samuel Cook, Jessica Lee, Levi Parker, Ava Rodriguez",4.09,0.6,0.4,5,0.0059,0.96,0.0985
G-120,50,4.12,Group 9,5,"Janelle Huang, Oliver Wu, Briar Young, Faisal Bin Yusof, Yani Rahmadani",4.17,0.4,0.6,4,0.0409,0.96,0.1849
G-120,50,4.12,Group 10,5,"Charlotte Alexander, Ravi Gupta, Tina Sun, Lucas Gonzalez, Sophia White",4.05,0.4,0.6,4,0.0025,0.96,0.2014
G-13,50,4.06,Group 1,5,"Yara Ross, Huiqin, Hendrik Surya, Ryan Edwards, Evelyn Robinson",4.04,0.4,0.6,5,0.0049,0.96,0.089
G-13,50,4.06,Group 2,5,"Leila Shah, Qori Amalia, Vivek Sethi, Jia Li, Emily Chua",4.07,0.4,0.6,5,0.0244,0.96,0.0806
G-13,50,4.06,Group 3,5,"Lydia Patterson, Nora Bell, Dustin Zhao, Boris Volkov, Svetlana Egorova",4.05,0.4,0.6,5,0.0189,0.96,0.0886
G-13,50,4.06,Group 4,5,"Kiran Patel, Ruiwen, Harish Rao, Wyatt Ward, Denny Saputra",4.02,0.6,0.4,5,0.0201,0.96,0.0908
G-13,50,4.06,Group 5,5,"Zara Ho, Shun Takahashi, Su Ling, Paul Kim, Fang Hong",4.06,0.4,0.6,5,0.002,0.96,0.1206
G-13,50,4.06,Group 6,5,"Ling Zhang, Wahyu Prabowo, Meena Iyer, Eli Chen, Kieran Kim",4.05,0.6,0.4,5,0.0122,0.96,0.0973
G-13,50,4.06,Group 7,5,"Zara Wang, Rahul Joshi, Tasneem Javed, Kaori Nakajima, Arnav Yadav",4.06,0.4,0.6,5,0.0139,0.96,0.1126
G-13,50,4.06,Group 8,5,"Lola Wong, Aiko Watanabe, Jackie Robinson, Nina Tan, Wenkai",4.06,0.4,0.6,5,0.0022,0.96,0.1206
G-13,50,4.06,Group 9,5,"Diya Mukherjee, Alyssa Garcia, Lucas Peterson, Meiling, Hussain Bin Mohd",4.09,0.4,0.6,5,0.0137,0.96,0.1293
G-13,50,4.06,Group 10,5,"Lila Reed, Olivia Allen, Anthony Morgan, Yun Li, Colton Roberts",4.12,0.4,0.6,4,0.0064,0.96,0.2192
G-14,50,4.08,Group 1,5,"Hui Yao Tan, Shahid Malik, Talia Chang, Samuel Torres, Rizal Ramadhan",4.0,0.6,0.4,5,0.0138,0.96,0.1038
G-14,50,4.08,Group 2,5,"Linda Wong, Tian Wang, Jing Yi, Eko Prasetyo, Dylan Adams",3.99,0.6,0.4,5,0.0342,0.96,0.1041
G-14,50,4.08,Group 3,5,"Fatimah Rahman, Hao Xiang Tan, Yvonne Ko, Brendan James, Riya Yadav",4.11,0.4,0.6,5,0.004,0.96,0.1155
G-14,50,4.08,Group 4,5,"Quinn Dela Cruz, Hana Yamamoto, Xander Wong, Liang Hong, Diana Kwan",4.08,0.4,0.6,5,0.002,0.96,0.1231
G-14,50,4.08,Group 5,5,"Emily Harris, Rabia Noor, Ashraff Bin Mohd, Zhou Min, Shamita Rani",4.08,0.4,0.6,5,0.0032,0.96,0.1231
G-14,50,4.08,Group 6,5,"Carmen Lee, Aiko Kimura, Henry Morales, Hugo Huang, Stella Green",4.07,0.4,0.6,5,0.0102,0.96,0.1231
G-14,50,4.08,Group 7,5,"Chloe Ng, Jenna Wong, Steve Lau, Riley Kim, Winston Yang",4.13,0.6,0.4,5,0.0052,0.96,0.1269
G-14,50,4.08,Group 8,5,"Siti Aisyah, Xyla Cruz, Samuel Morgan, Yusuf Bin Sulaiman, Chandra Widyanto",4.19,0.6,0.4,5,0.0396,0.96,0.1377
G-14,50,4.08,Group 9,5,"Freddie Wong, Madiha Qureshi, Henry King, Sanjana Mehta, Anita Clarke",4.08,0.4,0.6,5,0.0005,0.96,0.1391
G-14,50,4.08,Group 10,5,"Sharifah Ali, Veera Kumar, Min-Jae Park, Sophie Liao, Kai Wong",4.03,0.4,0.6,5,0.0237,0.96,0.1397
G-15,50,4.06,Group 1,5,"Levi Price, Samantha Wu, Wu Bin, Saki Watanabe, Isabella Wilson",4.05,0.4,0.6,5,0.0026,0.96,0.0893
G-15,50,4.06,Group 2,5,"Soren Wu, Yun Zhang, Shaima Binti Rahman, Hani Susanti, Neelam Patel",4.06,0.4,0.6,5,0.003,0.96,0.0733
G-15,50,4.06,Group 3,5,"Zachary Walker, Aditi Bhat, Noor Rani, Nguyen Thi Thuy, Mira Sulaiman",4.01,0.4,0.6,5,0.0089,0.96,0.0831
G-15,50,4.06,Group 4,5,"Leo Cooper, Seng Wei Lim, Hassan Bin Yusof, Lily Ng, Zoe Lim",4.0,0.6,0.4,5,0.0092,0.96,0.0808
G-15,50,4.06,Group 5,5,"Isaac Tan, Siddharth Iyer, Dominic Yang, Meenakshi Iyer, Deepika Singh",4.07,0.6,0.4,5,0.011,0.96,0.0938
G-15,50,4.06,Group 6,5,"Truong Van Hoang, Brendan James, Zachary Garcia, Haroon Qureshi, Zoe Lin",4.09,0.8,0.2,5,0.0137,0.64,0.1039
G-15,50,4.06,Group 7,5,"Azhar Khan, Sung-Min Yoo, Sania Noor, Tyler Johnson, Victoria Wang",4.04,0.6,0.4,5,0.0196,0.96,0.078
G-15,50,4.06,Group 8,5,"Felicity Morgan, Rory Hughes, Warner Ng, Beckett Lee, Soniya Malik",4.06,0.6,0.4,5,0.0012,0.96,0.1098
G-15,50,4.06,Group 9,5,"Shanaz Iqbal, Andrew Clark, Xiangqi, Caleb Hughes, Isha Tan",4.07,0.6,0.4,5,0.0023,0.96,0.1259
G-15,50,4.06,Group 10,5,"Zahra Khan, Jayden Lee, Aaron Taylor, Zhao Li, Derek Tan",4.14,0.8,0.2,5,0.0138,0.64,0.1481
G-16,50,4.08,Group 1,5,"Geeta Reddy, Dylan Lewis, Caleb Yang, Maya Tan, Xiuqin",4.08,0.6,0.4,5,0.0096,0.96,0.0863
G-16,50,4.08,Group 2,5,"Ritika Singh, William Li, Lydia Yip, Khalid Malik, Nitin Kumar",4.12,0.6,0.4,5,0.0455,0.96,0.0949
G-16,50,4.08,Group 3,5,"Ursula Cruz, Liam Reddy, Lydia Chen, Wei Jie, Jeremiah Santos",4.06,0.6,0.4,5,0.0071,0.96,0.1024
G-16,50,4.08,Group 4,5,"Noor Jahan, Albert Yip, Anita Patel, Liam Hughes, Maya Alexander",4.09,0.4,0.6,5,0.0074,0.96,0.1126
G-16,50,4.08,Group 5,5,"Sophia Davis, Wesley Villanueva, Chloe Green, Eva Cooper, Tristan Lim",4.01,0.4,0.6,5,0.0116,0.96,0.0982
G-16,50,4.08,Group 6,5,"Derek Hill, Durga Sharma, Nazia Nadeem, Mia Clark, Ivan Wong",4.07,0.4,0.6,5,0.0024,0.96,0.1045
G-16,50,4.08,Group 7,5,"Henry Cheung, Sanjana Gupta, Ami Mori, Naina Mehta, Tyson Scott",4.07,0.4,0.6,5,0.0021,0.96,0.1125
G-16,50,4.08,Group 8,5,"Chen Wang, Lihua, Soo-Min Park, Sylvia Tan, Hiroshi Yamashita",4.06,0.4,0.6,5,0.0076,0.96,0.1206
G-16,50,4.08,Group 9,5,"Derek Bautista, Shu Fang, Usman Iqbal, Jane Lee, Samara Chang",4.13,0.4,0.6,5,0.0039,0.96,0.1215
G-16,50,4.08,Group 10,5,"Zhen Li, Mabel Turner, Aishwarya Nair, Kathy Yip, Shuqi",4.08,0.4,0.6,5,0.0131,0.96,0.1285
G-17,50,4.09,Group 1,5,"Nash Reddy, Nicolette Cruz, Gwen Lee, Toshiro Takashima, Rohan Kumar",4.1,0.6,0.4,5,0.0181,0.96,0.0861
G-17,50,4.09,Group 2,5,"Joshua Thomas, Sofia Lee, Janet Wong, Wang Feng, Geeta Kaur",4.02,0.4,0.6,5,0.0105,0.96,0.096
G-17,50,4.09,Group 3,5,"Kenny Lim, Tina Lim, Peiyu, Jin Ho, Wawan Kurniawan",4.07,0.6,0.4,5,0.0099,0.96,0.1022
G-17,50,4.09,Group 4,5,"Anil Mehta, Anya Mohd, Maya Johnson, Mohammed Ali, James Tan",4.09,0.6,0.4,5,0.0022,0.96,0.118
G-17,50,4.09,Group 5,5,"Edison Raka, Violet Zhou, Yuna Tan, Ritika Ali, Evan Thomas",4.08,0.4,0.6,5,0.0124,0.96,0.11
G-17,50,4.09,Group 6,5,"Zulaikha Binti Mohd, Uriah Ramos, Sana Johar, Huifen, Harrison Mendoza",4.08,0.4,0.6,5,0.0182,0.96,0.11
G-17,50,4.09,Group 7,5,"Sadia Bukhari, Kenta Takahashi, Jia Ming, Diyana Binti Kamar, Rui Jin Tan",4.08,0.6,0.4,5,0.0093,0.96,0.118
G-17,50,4.09,Group 8,5,"Aaron Lee, Zain Ali, Meher Awan, Siti Amani, Reza Khan",4.16,0.4,0.6,5,0.0333,0.96,0.12
G-17,50,4.09,Group 9,5,"Vinay Nair, Scarlett Tan, Xiao Yu, Angela Zhang, Aleksei Koval",4.06,0.4,0.6,5,0.0066,0.96,0.1343
G-17,50,4.09,Group 10,5,"Maya Binti Azman, George Wilson, Minh Dao, Zara Mitchell, Manish Joshi",4.15,0.6,0.4,5,0.0059,0.96,0.1435
G-18,50,4.07,Group 1,5,"Megan Lim, Uday Singh, Maya Rani, Tyler Garcia, Fang Ling",4.1,0.4,0.6,5,0.0109,0.96,0.1005
G-18,50,4.07,Group 2,5,"Chloe Chen, Fang Mei, Sana Reddy, Adrian Lim, Bilal Ahmed",4.09,0.4,0.6,5,0.0086,0.96,0.084
G-18,50,4.07,Group 3,5,"Shahida Khan, Ella Villanueva, Citra Amara, Jackson Clark, Pandu Setiawan",4.1,0.4,0.6,5,0.0115,0.96,0.0925
G-18,50,4.07,Group 4,5,"Suhana Rao, Mira Binti Yusof, Layla Harris, Jonathan Sun, Jawad Khan",4.08,0.4,0.6,5,0.0105,0.96,0.0994
G-18,50,4.07,Group 5,5,"Samantha Tan, Amina Tariq, Dylan Parker, Brayden Hall, Shuang",4.04,0.4,0.6,5,0.0082,0.96,0.0922
G-18,50,4.07,Group 6,5,"Min Li, Lila Tan, Ayushi Gupta, Harlan Perdana, Kelly Tsang",4.07,0.4,0.6,5,0.0045,0.96,0.1154
G-18,50,4.07,Group 7,5,"Rita Sharma, Sophia Thomas, Tessa Lee, Arjun Rao, Luca Wong",4.07,0.4,0.6,5,0.0118,0.96,0.1154
G-18,50,4.07,Group 8,5,"Paxton Ross, Kinsley Tsai, Yasmin Lee, Isabella Lee, Lucas Wright",4.02,0.4,0.6,5,0.0099,0.96,0.1186
G-18,50,4.07,Group 9,5,"Mohan Rao, Zara Lim, Shan Binti, Liu Wei, Derek White",4.07,0.4,0.6,5,0.012,0.96,0.1234
G-18,50,4.07,Group 10,5,"Xiu Zhang, Yuying Wang, Athena Zhao, Shreya Das, Hao Liang Lim",4.06,0.2,0.8,5,0.0131,0.64,0.1669
G-19,50,4.07,Group 1,5,"Ava Wilson, Owais Khan, Matthew Clark, Mi-Sook Kim, Lance Alvarado",4.02,0.6,0.4,5,0.0148,0.96,0.0793
G-19,50,4.07,Group 2,5,"Jessica Martinez, Samuel Lee, Lucas Green, Ananya Kaul, Rohan Shah",4.12,0.6,0.4,5,0.0044,0.96,0.0867
G-19,50,4.07,Group 3,5,"Jaxon White, Shanaya Tan, Whitney Alvarado, Kendrick Scott, Aarav Reddy",4.06,0.6,0.4,5,0.0105,0.96,0.0845
G-19,50,4.07,Group 4,5,"Zhou Rui, Sneha Joshi, Nguyen Thi Lan, An Nguyen, Qi Zhang",4.03,0.4,0.6,5,0.0096,0.96,0.0864
G-19,50,4.07,Group 5,5,"Ella Mitchell, Tristan Castillo, Priti Mehta, Matthew Lee, Gavin Zhao",4.07,0.6,0.4,5,0.0027,0.96,0.1164
G-19,50,4.07,Group 6,5,"Sushmita Roy, Alyssa Ramirez, Zachary Li, Chen Yu, Imran Waseem",4.06,0.6,0.4,5,0.0067,0.96,0.1087
G-19,50,4.07,Group 7,5,"Nikhil Reddy, Olivia Fernandez, Sasha Tan, Chen Bo, Arunachalam Devi",4.1,0.4,0.6,5,0.0107,0.96,0.1091
